Protein1,Protein2,InteractionProbability
NUCL_HUMAN,WDR43_HUMAN,0.49
AT5F1_HUMAN,NDUV1_HUMAN,0.49
F16P2_HUMAN,PK3CA_HUMAN,0.49
DAPP1_HUMAN,M3K1_HUMAN,0.0
TECT1_HUMAN,SYG_HUMAN,0.49
H2B1C_HUMAN,CCD86_HUMAN,0.49
TGON2_HUMAN,F219A_HUMAN,0.49
MRP2_HUMAN,TOM22_HUMAN,0.49
MPCP_HUMAN,ACOD_HUMAN,0.49
MED4_HUMAN,MPP9_HUMAN,0.49
EWS_HUMAN,CWC15_HUMAN,0.49
CEP63_HUMAN,ADIP_HUMAN,0.49
H2B1C_HUMAN,DJC17_HUMAN,0.49
CPSF5_HUMAN,PCF11_HUMAN,0.49
TP53B_HUMAN,RAD9A_HUMAN,0.49
SPICE_HUMAN,SSRP1_HUMAN,0.49
ACINU_HUMAN,FUT8_HUMAN,0.49
IL1R1_HUMAN,TLR5_HUMAN,0.0
BRCA1_HUMAN,RIF1_HUMAN,0.49
AL7A1_HUMAN,FAH2A_HUMAN,0.49
AMOT_HUMAN,XPR1_HUMAN,0.49
SUGP1_HUMAN,SNX3_HUMAN,0.49
NDUA7_HUMAN,ECI2_HUMAN,0.49
CRK_HUMAN,SIAS_HUMAN,0.49
RIFK_HUMAN,GRHPR_HUMAN,0.49
LAMP1_HUMAN,WDR41_HUMAN,0.49
LMNA_HUMAN,ZRAB2_HUMAN,0.49
ILF2_HUMAN,MYOF_HUMAN,0.49
NUDC3_HUMAN,FKBP4_HUMAN,0.49
SMAD2_HUMAN,ROA3_HUMAN,0.49
SAP18_HUMAN,SSRG_HUMAN,0.49
CETN2_HUMAN,SPG20_HUMAN,0.49
CP135_HUMAN,CAMP1_HUMAN,0.49
HS105_HUMAN,DNJC3_HUMAN,0.49
ATPA_HUMAN,PDIA1_HUMAN,0.49
RM53_HUMAN,UB2L3_HUMAN,0.49
CWC15_HUMAN,SF3B4_HUMAN,0.49
H2B1C_HUMAN,DDX49_HUMAN,0.49
TMX2_HUMAN,TMX3_HUMAN,0.06
PTBP1_HUMAN,4F2_HUMAN,0.49
MGST3_HUMAN,RM12_HUMAN,0.49
RL18_HUMAN,RS24_HUMAN,0.49
PQBP1_HUMAN,UK114_HUMAN,0.49
MEA1_HUMAN,NU153_HUMAN,0.49
NINL_HUMAN,ABLM1_HUMAN,0.49
RS15_HUMAN,VPP1_HUMAN,0.49
RS11_HUMAN,NOC4L_HUMAN,0.49
MGST3_HUMAN,VDAC2_HUMAN,0.49
TMM17_HUMAN,CAHD1_HUMAN,0.49
RL32_HUMAN,RSSA_HUMAN,0.49
NEP_HUMAN,F207A_HUMAN,0.14
TM237_HUMAN,CKAP4_HUMAN,0.49
GSTO1_HUMAN,PRDX6_HUMAN,0.49
DTD2_HUMAN,HDHD2_HUMAN,0.49
TR61B_HUMAN,RM28_HUMAN,0.49
EWS_HUMAN,CAF1A_HUMAN,0.49
GT251_HUMAN,PR40A_HUMAN,0.49
ILF2_HUMAN,RS8_HUMAN,0.49
TMM17_HUMAN,AT2C1_HUMAN,0.49
EF1G_HUMAN,RL8_HUMAN,0.49
UB2V1_HUMAN,ULK4_HUMAN,0.49
3MG_HUMAN,EIF2A_HUMAN,0.49
MLF1_HUMAN,PSMD3_HUMAN,0.49
FR1OP_HUMAN,AKA11_HUMAN,0.49
H2B1C_HUMAN,REN3B_HUMAN,0.49
HIPK3_HUMAN,TRA2B_HUMAN,0.49
STAT3_HUMAN,IRAK3_HUMAN,0.49
GNL3_HUMAN,RL11_HUMAN,0.49
PRP19_HUMAN,UT14A_HUMAN,0.49
RXRB_HUMAN,LA_HUMAN,0.49
PLK4_HUMAN,CEP63_HUMAN,0.49
RM11_HUMAN,RM15_HUMAN,0.49
ADIP_HUMAN,SMG7_HUMAN,0.49
IBP3_HUMAN,AURKA_HUMAN,0.49
PDK1_HUMAN,LYPL1_HUMAN,0.49
FBX24_HUMAN,FKBPL_HUMAN,0.49
ITB4_HUMAN,LAMC1_HUMAN,0.0
BRCA1_HUMAN,SLX4_HUMAN,0.49
TMX1_HUMAN,AT2A2_HUMAN,0.06
MRP2_HUMAN,RM37_HUMAN,0.49
TOM20_HUMAN,CI072_HUMAN,0.49
RPB1_HUMAN,MCM2_HUMAN,0.49
DJB11_HUMAN,PNPH_HUMAN,0.49
ILF2_HUMAN,LAMP1_HUMAN,0.49
PI4KB_HUMAN,PK3C3_HUMAN,0.0
PDK1_HUMAN,MAOM_HUMAN,0.49
CPLX1_HUMAN,LGUL_HUMAN,0.49
NUP85_HUMAN,PRKDC_HUMAN,0.49
RL24_HUMAN,TIM13_HUMAN,0.49
T2FB_HUMAN,ZN638_HUMAN,0.49
TMEDA_HUMAN,VAMP2_HUMAN,0.49
GRL1A_HUMAN,AHSP_HUMAN,0.49
ALDOC_HUMAN,FUMH_HUMAN,0.49
TRI14_HUMAN,SAMH1_HUMAN,0.49
TNR1A_HUMAN,TNF10_HUMAN,0.0
SCO1_HUMAN,CLPX_HUMAN,0.49
IF4G2_HUMAN,RAB7A_HUMAN,0.49
CEP44_HUMAN,TCHP_HUMAN,0.49
COX14_HUMAN,NDUS6_HUMAN,0.49
CS025_HUMAN,DUT_HUMAN,0.49
EIF3A_HUMAN,NUCL_HUMAN,0.49
CNTRL_HUMAN,GTSE1_HUMAN,0.49
BKRB2_HUMAN,CXL10_HUMAN,0.0
SPICE_HUMAN,CCD77_HUMAN,0.49
INP4A_HUMAN,P3C2A_HUMAN,0.0
RL38_HUMAN,RL27A_HUMAN,0.49
ITB5_HUMAN,LAMA3_HUMAN,0.0
TECT2_HUMAN,RER1_HUMAN,0.49
CTNB1_HUMAN,BCCIP_HUMAN,0.49
PA24A_HUMAN,KPCG_HUMAN,0.0
NH2L1_HUMAN,SURF4_HUMAN,0.49
THOC5_HUMAN,ZKSC5_HUMAN,0.49
CAB39_HUMAN,VP26B_HUMAN,0.49
PDK1_HUMAN,NDUS3_HUMAN,0.49
IRF7_HUMAN,OSTP_HUMAN,0.0
RO60_HUMAN,TCP4_HUMAN,0.49
TGON2_HUMAN,NOG1_HUMAN,0.49
IF4G1_HUMAN,PABP4_HUMAN,0.49
IDHC_HUMAN,DAZP1_HUMAN,0.49
DHX9_HUMAN,VTNC_HUMAN,0.49
CLH1_HUMAN,IF6_HUMAN,0.49
CNTRL_HUMAN,GPTC1_HUMAN,0.49
SBDS_HUMAN,TIAR_HUMAN,0.49
TGON2_HUMAN,S12A6_HUMAN,0.49
TR61B_HUMAN,RM47_HUMAN,0.49
SF3B1_HUMAN,SSRP1_HUMAN,0.49
PPT2_HUMAN,PYC_HUMAN,0.49
COX41_HUMAN,QCR7_HUMAN,0.49
RS27_HUMAN,RS19_HUMAN,0.49
SSRP1_HUMAN,ZCH18_HUMAN,0.49
MYC_HUMAN,STA5A_HUMAN,0.0
FES_HUMAN,RND1_HUMAN,0.0
TECT2_HUMAN,CNIH4_HUMAN,0.49
STAM1_HUMAN,TBCK_HUMAN,0.49
DDX1_HUMAN,FA98A_HUMAN,0.49
BET1_HUMAN,TJAP1_HUMAN,0.49
FBRL_HUMAN,EXOSX_HUMAN,0.49
TXD17_HUMAN,UBP3_HUMAN,0.49
ITA2_HUMAN,LAMB1_HUMAN,0.0
HNRPM_HUMAN,RBM14_HUMAN,0.49
SSU72_HUMAN,TEBP_HUMAN,0.49
TECT3_HUMAN,ACOD_HUMAN,0.49
RAE1L_HUMAN,DHB14_HUMAN,0.49
SCLT1_HUMAN,NSF_HUMAN,0.49
BRCA1_HUMAN,RA51B_HUMAN,0.49
UBP48_HUMAN,ZFR_HUMAN,0.49
RPN1_HUMAN,SSRA_HUMAN,0.49
PYRD_HUMAN,SSBP_HUMAN,0.49
SPRE_HUMAN,PUR9_HUMAN,0.49
PSB2_HUMAN,SMAP_HUMAN,0.49
DCTN1_HUMAN,IPO9_HUMAN,0.49
PTGR1_HUMAN,PRDX6_HUMAN,0.49
RL38_HUMAN,RL22_HUMAN,0.49
RED_HUMAN,SRS10_HUMAN,0.49
RAD18_HUMAN,ORC2_HUMAN,0.49
TMM17_HUMAN,CBPD_HUMAN,0.49
LAMP1_HUMAN,CSPG4_HUMAN,0.49
LAMP1_HUMAN,DDRGK_HUMAN,0.49
HYPK_HUMAN,ZPR1_HUMAN,0.49
FTM_HUMAN,RAB5B_HUMAN,0.49
H2B1C_HUMAN,NUSAP_HUMAN,0.49
LIFR_HUMAN,SOCS2_HUMAN,0.0
DDX18_HUMAN,NEMF_HUMAN,0.49
CATA_HUMAN,PRDX5_HUMAN,0.49
LASP1_HUMAN,AHNK_HUMAN,0.49
TM237_HUMAN,LYRIC_HUMAN,0.49
LAMP2_HUMAN,SRP14_HUMAN,0.49
MED4_HUMAN,TBK1_HUMAN,0.49
RS20_HUMAN,RL35A_HUMAN,0.49
MGST3_HUMAN,DHE3_HUMAN,0.49
TEFF1_HUMAN,RHG07_HUMAN,0.49
TRMB_HUMAN,NH2L1_HUMAN,0.49
SPICE_HUMAN,CSPP1_HUMAN,0.49
RS6_HUMAN,IMP3_HUMAN,0.49
ADIP_HUMAN,CNOT1_HUMAN,0.49
DHX9_HUMAN,UBP7_HUMAN,0.49
TM216_HUMAN,LMAN1_HUMAN,0.49
RALY_HUMAN,SNR40_HUMAN,0.49
G6PC_HUMAN,AAKB2_HUMAN,0.0
H2B1C_HUMAN,BRE_HUMAN,0.49
ATD3B_HUMAN,RPN1_HUMAN,0.49
PIWL1_HUMAN,CYBP_HUMAN,0.49
TGON2_HUMAN,VAMP7_HUMAN,0.49
ATP5L_HUMAN,CPT2_HUMAN,0.49
SAS6_HUMAN,PCM1_HUMAN,0.49
NUCL_HUMAN,SPT4H_HUMAN,0.49
ILF3_HUMAN,RM42_HUMAN,0.49
EBP2_HUMAN,RL7_HUMAN,0.49
U2AF1_HUMAN,ZCHC8_HUMAN,0.49
PRPF3_HUMAN,RU1C_HUMAN,0.49
FBXL5_HUMAN,MYB_HUMAN,0.49
RS20_HUMAN,SELB_HUMAN,0.49
KPCG_HUMAN,VCAM1_HUMAN,0.0
RLA2_HUMAN,RL12_HUMAN,0.49
CEP89_HUMAN,WDR83_HUMAN,0.49
IGBP1_HUMAN,PFD1_HUMAN,0.49
NUP53_HUMAN,NUPL2_HUMAN,0.49
CDK7_HUMAN,MED31_HUMAN,0.49
RBM4_HUMAN,SUCB1_HUMAN,0.49
TBD2A_HUMAN,MLH3_HUMAN,0.49
NCBP1_HUMAN,IMDH2_HUMAN,0.49
NINL_HUMAN,K1671_HUMAN,0.49
H2B1C_HUMAN,DYL2_HUMAN,0.49
TECT2_HUMAN,TM214_HUMAN,0.49
FA10_HUMAN,THRB_HUMAN,0.0
KLH38_HUMAN,SGTA_HUMAN,0.49
H2B1C_HUMAN,HELLS_HUMAN,0.49
CE170_HUMAN,DCLK1_HUMAN,0.49
PDK1_HUMAN,PNPT1_HUMAN,0.49
BET1_HUMAN,UBR4_HUMAN,0.49
AT1A1_HUMAN,NDUS4_HUMAN,0.49
CEP44_HUMAN,TBK1_HUMAN,0.49
SRRT_HUMAN,SF3B3_HUMAN,0.49
H2B1C_HUMAN,REN3B_HUMAN,0.49
THAP1_HUMAN,CDN1B_HUMAN,0.49
INP5E_HUMAN,PLCG1_HUMAN,0.0
UCHL3_HUMAN,ZYX_HUMAN,0.49
LIS1_HUMAN,CHID1_HUMAN,0.49
TRI14_HUMAN,RMXL2_HUMAN,0.49
DCTN4_HUMAN,IF4G1_HUMAN,0.49
ATPG_HUMAN,COX2_HUMAN,0.49
GSHR_HUMAN,TOM40_HUMAN,0.49
PSMD3_HUMAN,MTCH1_HUMAN,0.49
VGFR3_HUMAN,P85B_HUMAN,0.0
ABCD3_HUMAN,MPV17_HUMAN,0.49
ATR_HUMAN,PML_HUMAN,0.0
TECT2_HUMAN,SEC63_HUMAN,0.49
STIP1_HUMAN,DUT_HUMAN,0.49
PTN6_HUMAN,AIMP1_HUMAN,0.49
M4K1_HUMAN,JIP2_HUMAN,0.0
TRI11_HUMAN,UBA1_HUMAN,0.49
PACN2_HUMAN,CH60_HUMAN,0.49
UBP16_HUMAN,FBX11_HUMAN,0.49
DPY30_HUMAN,LAMB1_HUMAN,0.49
MRP2_HUMAN,TOM20_HUMAN,0.49
RMP_HUMAN,NUDC3_HUMAN,0.49
CEP19_HUMAN,MTMR6_HUMAN,0.49
PP1A_HUMAN,PP14A_HUMAN,0.0
MKS1_HUMAN,PYR1_HUMAN,0.49
PCM1_HUMAN,BTF3_HUMAN,0.49
UCHL3_HUMAN,HINT1_HUMAN,0.49
PK3CB_HUMAN,TFCP2_HUMAN,0.49
NUCKS_HUMAN,HEXI1_HUMAN,0.49
BGAL_HUMAN,SAP_HUMAN,0.0
MGST3_HUMAN,ANGE2_HUMAN,0.49
RDH13_HUMAN,RPN2_HUMAN,0.49
MED23_HUMAN,EP400_HUMAN,0.49
PCOC1_HUMAN,LTBP1_HUMAN,0.49
PYR1_HUMAN,COPB_HUMAN,0.49
DDX18_HUMAN,PRP6_HUMAN,0.49
RPC1_HUMAN,HDAC2_HUMAN,0.49
H2B1C_HUMAN,ZN629_HUMAN,0.49
TOM20_HUMAN,PCKGM_HUMAN,0.49
ARFP1_HUMAN,ATOX1_HUMAN,0.49
INSR_HUMAN,NCK2_HUMAN,0.0
AT1A1_HUMAN,SSRB_HUMAN,0.49
H2B1C_HUMAN,RNZ2_HUMAN,0.49
HNRPR_HUMAN,RL7_HUMAN,0.49
CUTA_HUMAN,PXDNL_HUMAN,0.49
TRI23_HUMAN,UBA1_HUMAN,0.49
ANM5_HUMAN,SBNO1_HUMAN,0.49
LBN_HUMAN,SOAT1_HUMAN,0.49
H2B1C_HUMAN,ZN362_HUMAN,0.49
LTOR3_HUMAN,RAB21_HUMAN,0.49
BET1_HUMAN,RABE1_HUMAN,0.49
DHX9_HUMAN,IF6_HUMAN,0.49
SPICE_HUMAN,HMMR_HUMAN,0.49
NLE1_HUMAN,C1TC_HUMAN,0.49
TR61B_HUMAN,SLIRP_HUMAN,0.49
FGF2_HUMAN,VGFR1_HUMAN,0.0
PLRKT_HUMAN,COX41_HUMAN,0.49
LTBP1_HUMAN,TGFB3_HUMAN,0.0
WD51A_HUMAN,SLAI2_HUMAN,0.49
TMM17_HUMAN,BI2L1_HUMAN,0.49
NDUA7_HUMAN,RU1C_HUMAN,0.49
AIFM1_HUMAN,P33MX_HUMAN,0.49
PDK1_HUMAN,SPRY4_HUMAN,0.49
NH2L1_HUMAN,RS13_HUMAN,0.49
DRS7B_HUMAN,RAB7A_HUMAN,0.49
TMCO1_HUMAN,ODPB_HUMAN,0.49
GCR_HUMAN,KDM1A_HUMAN,0.49
TRI11_HUMAN,UB2V1_HUMAN,0.49
REN3B_HUMAN,SNUT1_HUMAN,0.49
RS11_HUMAN,RM24_HUMAN,0.49
EIF3K_HUMAN,UTP15_HUMAN,0.49
CE290_HUMAN,GPTC1_HUMAN,0.49
H4_HUMAN,LRWD1_HUMAN,0.49
TS101_HUMAN,SMHD1_HUMAN,0.49
RL9_HUMAN,RS21_HUMAN,0.49
H4_HUMAN,ORC3_HUMAN,0.49
APOB_HUMAN,PSDE_HUMAN,0.49
AKIP_HUMAN,LONM_HUMAN,0.49
TOM20_HUMAN,EHBP1_HUMAN,0.49
TMM17_HUMAN,ROR2_HUMAN,0.49
PIGC_HUMAN,PIGH_HUMAN,0.49
TECT2_HUMAN,CP058_HUMAN,0.49
CE120_HUMAN,IPMK_HUMAN,0.49
LRC40_HUMAN,MTNA_HUMAN,0.49
PUS3_HUMAN,NHRF3_HUMAN,0.49
NINL_HUMAN,CCD14_HUMAN,0.49
MOV10_HUMAN,RS15A_HUMAN,0.49
OFD1_HUMAN,EHBP1_HUMAN,0.49
HNRPR_HUMAN,RT09_HUMAN,0.49
RM15_HUMAN,RM20_HUMAN,0.49
TCTE1_HUMAN,ASPP2_HUMAN,0.49
TMM17_HUMAN,SNP23_HUMAN,0.49
GLYM_HUMAN,DCTN2_HUMAN,0.49
CE128_HUMAN,PEF1_HUMAN,0.49
MCFD2_HUMAN,RUVB2_HUMAN,0.49
UFC1_HUMAN,VATF_HUMAN,0.49
H2B1C_HUMAN,JADE3_HUMAN,0.49
CH60_HUMAN,SYSM_HUMAN,0.49
H2B1C_HUMAN,TPX2_HUMAN,0.49
NH2L1_HUMAN,KDM4B_HUMAN,0.49
H2B1C_HUMAN,GON4L_HUMAN,0.49
THIL_HUMAN,ERCC2_HUMAN,0.49
ACO13_HUMAN,NH2L1_HUMAN,0.49
ARP6_HUMAN,1433E_HUMAN,0.49
PRP6_HUMAN,LC7L2_HUMAN,0.49
CLIC4_HUMAN,SAE2_HUMAN,0.49
MKLN1_HUMAN,NUDC2_HUMAN,0.49
RL22_HUMAN,RS27A_HUMAN,0.49
RL21_HUMAN,RS27_HUMAN,0.49
KPRA_HUMAN,UBCP1_HUMAN,0.49
EWS_HUMAN,SIR1_HUMAN,0.49
PCMD1_HUMAN,SCHI1_HUMAN,0.49
NOP56_HUMAN,PTRF_HUMAN,0.49
RS6_HUMAN,DDX51_HUMAN,0.49
TP53B_HUMAN,BRE_HUMAN,0.49
TGON2_HUMAN,F91A1_HUMAN,0.49
DJC17_HUMAN,CA123_HUMAN,0.49
CDV3_HUMAN,QKI_HUMAN,0.49
TOP1_HUMAN,TRI32_HUMAN,0.49
CAZA1_HUMAN,PSA1_HUMAN,0.49
RS6_HUMAN,NOL6_HUMAN,0.49
PRDBP_HUMAN,RS26_HUMAN,0.49
HNRPL_HUMAN,DPH5_HUMAN,0.49
LMNA_HUMAN,NPL4_HUMAN,0.49
T4S19_HUMAN,HD_HUMAN,0.49
MATR3_HUMAN,RU1C_HUMAN,0.49
ASNS_HUMAN,SYLC_HUMAN,0.49
SC22B_HUMAN,TMEDA_HUMAN,0.49
TECT3_HUMAN,SG196_HUMAN,0.49
CH60_HUMAN,NDUA7_HUMAN,0.49
CAPG_HUMAN,DAZP1_HUMAN,0.49
MED4_HUMAN,MA7D3_HUMAN,0.49
KHDR1_HUMAN,MYO7A_HUMAN,0.49
MPI_HUMAN,PIPNB_HUMAN,0.49
FZD4_HUMAN,PLCB1_HUMAN,0.0
EWS_HUMAN,CIC_HUMAN,0.49
ADIP_HUMAN,SC24B_HUMAN,0.49
RM12_HUMAN,RNT2_HUMAN,0.49
PPM1G_HUMAN,PSA1_HUMAN,0.49
PLCG1_HUMAN,MCMBP_HUMAN,0.49
WDR1_HUMAN,LACB2_HUMAN,0.49
TGON2_HUMAN,TRIPB_HUMAN,0.49
PUR6_HUMAN,UNK_HUMAN,0.49
EWS_HUMAN,RENT1_HUMAN,0.49
BET1_HUMAN,CANT1_HUMAN,0.49
BET1_HUMAN,SMC2_HUMAN,0.49
ICAL_HUMAN,LZIC_HUMAN,0.49
XRCC5_HUMAN,SYYC_HUMAN,0.49
NUDC_HUMAN,ICAL_HUMAN,0.49
TF2B_HUMAN,RFC5_HUMAN,0.49
ILF3_HUMAN,LPPRC_HUMAN,0.49
LAMP1_HUMAN,SC16A_HUMAN,0.49
MED4_HUMAN,NSF1C_HUMAN,0.49
BPNT1_HUMAN,GDPP1_HUMAN,0.49
SSU72_HUMAN,ZN638_HUMAN,0.49
RM24_HUMAN,RM44_HUMAN,0.49
GBB5_HUMAN,PSMD2_HUMAN,0.49
IKIP_HUMAN,RUSD4_HUMAN,0.49
PLST_HUMAN,CH10_HUMAN,0.49
ZBT20_HUMAN,CDC37_HUMAN,0.49
PB1_HUMAN,H4_HUMAN,0.49
LYAG_HUMAN,MPPA_HUMAN,0.49
RL7_HUMAN,PABP4_HUMAN,0.49
NUCL_HUMAN,RBM42_HUMAN,0.49
TECT3_HUMAN,HACD2_HUMAN,0.49
PRP6_HUMAN,SAP18_HUMAN,0.49
I5P1_HUMAN,ITPR1_HUMAN,0.0
H4_HUMAN,LRWD1_HUMAN,0.49
TOP1_HUMAN,SMAD2_HUMAN,0.49
CYBP_HUMAN,SKP2_HUMAN,0.49
SRXN1_HUMAN,TTL12_HUMAN,0.49
NDUA2_HUMAN,UBC9_HUMAN,0.49
UBXN7_HUMAN,ZYX_HUMAN,0.49
COX14_HUMAN,SC16A_HUMAN,0.49
TRI25_HUMAN,SCLY_HUMAN,0.49
LGUL_HUMAN,CH10_HUMAN,0.49
NEK8_HUMAN,METH_HUMAN,0.49
WNK1_HUMAN,TENS1_HUMAN,0.49
HNRDL_HUMAN,HNRPL_HUMAN,0.49
KLC2_HUMAN,LSM3_HUMAN,0.49
MDC1_HUMAN,BEND3_HUMAN,0.49
MAP4_HUMAN,IL7RA_HUMAN,0.49
ADIP_HUMAN,AKTIP_HUMAN,0.49
RM32_HUMAN,RM38_HUMAN,0.49
BET1_HUMAN,DDX54_HUMAN,0.49
LRR3C_HUMAN,DLG1_HUMAN,0.49
TR61B_HUMAN,TFAM_HUMAN,0.49
CE164_HUMAN,PPM1F_HUMAN,0.49
LSM4_HUMAN,VIP1_HUMAN,0.49
BCLF1_HUMAN,RS9_HUMAN,0.49
PUR6_HUMAN,MIF_HUMAN,0.49
FTM_HUMAN,SDCG3_HUMAN,0.49
CP135_HUMAN,GRIP1_HUMAN,0.49
ILF3_HUMAN,RS26_HUMAN,0.49
COX14_HUMAN,CMC2_HUMAN,0.49
PROF1_HUMAN,VINC_HUMAN,0.49
TECT1_HUMAN,MAGT1_HUMAN,0.49
LAMP1_HUMAN,NBEA_HUMAN,0.49
PDK1_HUMAN,CAF17_HUMAN,0.49
BABA1_HUMAN,CSN7A_HUMAN,0.0
ATPA_HUMAN,MTCH1_HUMAN,0.49
AIFM1_HUMAN,ACOT2_HUMAN,0.49
TECT3_HUMAN,TMED2_HUMAN,0.49
RL14_HUMAN,SRP14_HUMAN,0.49
RBM14_HUMAN,RED_HUMAN,0.49
6PGL_HUMAN,TALDO_HUMAN,0.49
RL13_HUMAN,RS26_HUMAN,0.49
ERG_HUMAN,HDAC2_HUMAN,0.14
MPPB_HUMAN,PNPT1_HUMAN,0.49
CEP19_HUMAN,KCD12_HUMAN,0.49
CE120_HUMAN,K1671_HUMAN,0.49
ILF2_HUMAN,RL23A_HUMAN,0.49
LAMP1_HUMAN,PTN13_HUMAN,0.49
IMDH2_HUMAN,CN021_HUMAN,0.49
IDE_HUMAN,PPCS_HUMAN,0.49
ODFP2_HUMAN,HSBP1_HUMAN,0.49
ACAD9_HUMAN,VAMP2_HUMAN,0.49
PIN1_HUMAN,PCBP2_HUMAN,0.49
RLA2_HUMAN,RL18A_HUMAN,0.49
SCO1_HUMAN,F136A_HUMAN,0.49
CREM_HUMAN,CR3L3_HUMAN,0.49
PDK1_HUMAN,GLYM_HUMAN,0.49
PK3CB_HUMAN,KSYK_HUMAN,0.0
PSA1_HUMAN,GRPE1_HUMAN,0.49
ZN587_HUMAN,CDC37_HUMAN,0.49
ABCB8_HUMAN,ADPGK_HUMAN,0.49
FBF1_HUMAN,5NTC_HUMAN,0.49
TGON2_HUMAN,GAK_HUMAN,0.49
CENPJ_HUMAN,ABLM1_HUMAN,0.49
SERA_HUMAN,SRS10_HUMAN,0.49
CEP44_HUMAN,MA7D3_HUMAN,0.49
SBDS_HUMAN,SRPRB_HUMAN,0.49
NDUS1_HUMAN,SC24C_HUMAN,0.49
RS5_HUMAN,RM24_HUMAN,0.49
NUCL_HUMAN,TYY1_HUMAN,0.49
RBM27_HUMAN,PCF11_HUMAN,0.49
TM237_HUMAN,TOIP1_HUMAN,0.49
TGON2_HUMAN,CYFP2_HUMAN,0.49
H2B1C_HUMAN,AR6P4_HUMAN,0.49
TOM22_HUMAN,CA198_HUMAN,0.49
COX2_HUMAN,OST48_HUMAN,0.49
LTOR3_HUMAN,TMCO1_HUMAN,0.49
FZD4_HUMAN,LRP6_HUMAN,0.0
BET1_HUMAN,AIMP1_HUMAN,0.49
RL10A_HUMAN,RS24_HUMAN,0.49
IL3RA_HUMAN,P85B_HUMAN,0.0
AIFM1_HUMAN,MTX2_HUMAN,0.49
SF3A1_HUMAN,SRRM2_HUMAN,0.49
RL7A_HUMAN,RS27A_HUMAN,0.49
ST1A1_HUMAN,TM1L2_HUMAN,0.49
AMPO_HUMAN,RHG07_HUMAN,0.49
HMGN1_HUMAN,VIP1_HUMAN,0.49
PLRKT_HUMAN,TOM70_HUMAN,0.49
NEK8_HUMAN,NUDC3_HUMAN,0.49
P85B_HUMAN,PLCB1_HUMAN,0.0
AIFM1_HUMAN,GRPE1_HUMAN,0.49
SCO1_HUMAN,CLPP_HUMAN,0.49
MYB_HUMAN,H4_HUMAN,0.49
TECT2_HUMAN,SPCS3_HUMAN,0.49
TRAP1_HUMAN,PRDX5_HUMAN,0.49
BAP1_HUMAN,GRP75_HUMAN,0.49
TMM17_HUMAN,NDC1_HUMAN,0.49
PDK1_HUMAN,LONM_HUMAN,0.49
MDM2_HUMAN,ZN326_HUMAN,0.49
IF2B_HUMAN,CNDD3_HUMAN,0.49
ILF3_HUMAN,SENP3_HUMAN,0.49
ASNS_HUMAN,SYQ_HUMAN,0.49
NR4A1_HUMAN,SEPT4_HUMAN,0.49
ZO2_HUMAN,PGAM5_HUMAN,0.49
BET1_HUMAN,LAT1_HUMAN,0.49
SNF5_HUMAN,RBM15_HUMAN,0.49
DJC17_HUMAN,HS105_HUMAN,0.49
ATX2L_HUMAN,LSM12_HUMAN,0.49
CNTRL_HUMAN,HAUS8_HUMAN,0.49
CNTRL_HUMAN,LC7L2_HUMAN,0.49
PLRKT_HUMAN,ZCCHV_HUMAN,0.49
TOM22_HUMAN,SSRD_HUMAN,0.49
H2B1C_HUMAN,TOIP1_HUMAN,0.49
RAN_HUMAN,U2AF1_HUMAN,0.49
SRS11_HUMAN,SPEB_HUMAN,0.49
PPARG_HUMAN,NF2L3_HUMAN,0.49
SRRT_HUMAN,SYN1_HUMAN,0.49
MDC1_HUMAN,TF3C1_HUMAN,0.49
P85B_HUMAN,RRAS_HUMAN,0.0
ASNS_HUMAN,TRAP1_HUMAN,0.49
AIFM1_HUMAN,IF2M_HUMAN,0.49
PGAM1_HUMAN,PCP_HUMAN,0.49
EEA1_HUMAN,TPGS1_HUMAN,0.49
SMC3_HUMAN,MSH6_HUMAN,0.49
PRDBP_HUMAN,TCPB_HUMAN,0.49
HDAC2_HUMAN,SRSF9_HUMAN,0.49
SAV1_HUMAN,CEP85_HUMAN,0.49
PDK1_HUMAN,RT26_HUMAN,0.49
NDUA2_HUMAN,UBE4B_HUMAN,0.49
RL18_HUMAN,RS17_HUMAN,0.49
PSA6_HUMAN,EXOS4_HUMAN,0.49
HCDH_HUMAN,CLIC4_HUMAN,0.49
RL15_HUMAN,U2AF2_HUMAN,0.49
RN135_HUMAN,UB2V1_HUMAN,0.49
GNA15_HUMAN,MLF1_HUMAN,0.49
PRP6_HUMAN,RS13_HUMAN,0.49
H2B1C_HUMAN,FOXC1_HUMAN,0.49
BAI1_HUMAN,PDZD2_HUMAN,0.49
STIP1_HUMAN,TPIS_HUMAN,0.49
M3K1_HUMAN,SP1_HUMAN,0.0
TOM20_HUMAN,MIA3_HUMAN,0.49
TOM20_HUMAN,PTN1_HUMAN,0.49
CE104_HUMAN,LRC49_HUMAN,0.49
TRI14_HUMAN,PUM1_HUMAN,0.49
MYH1_HUMAN,RIMS1_HUMAN,0.49
DAZP1_HUMAN,PCBP2_HUMAN,0.49
S10AG_HUMAN,TM177_HUMAN,0.49
TECT3_HUMAN,PRAF3_HUMAN,0.49
NIT2_HUMAN,TM189_HUMAN,0.49
RU2A_HUMAN,SFPQ_HUMAN,0.49
TERA_HUMAN,CALR_HUMAN,0.49
CH60_HUMAN,HCDH_HUMAN,0.49
LAMP2_HUMAN,SF3B3_HUMAN,0.49
